platform_post_id,domain,label,p_hate,hate_flag,explicit_toxic,coded_suspect,engagement,lexicon_hits_live,text
2073307399293636953,kenya,neither,0.0022774431854486465,False,False,True,13,fukuza,Junet: I thought Huyu Sifuna Mambo yake tulikua tunamalizia pale Bunge Kumbe Tunamjenga  Arati: Jana Alivuruga  Zaidii kwa bedroom ....Nilijaribu Goons lakini w
2074404610526085598,ambiguous,neither,0.06932667642831802,False,False,True,1,nyoka,@Georgeruto001 tunaua nyoka na mayai yake huku mlimani
2076123001930608885,kenya,neither,0.010121501982212067,False,False,True,0,nyoka,@thekognitive @Abdikadirmba008 how and it is dcp strong hold? DCP ndo ikishindwa wafunge virago. nikama UDA inataka kuua nyoka kwa kupiga kichwa
2073461393559273786,kenya,neither,0.0057774493470788,False,False,True,2253,kwekwe,Man sounds warning to goons recounting how he was part of the 2008 outfit that was used by government for similar dirty work as today.   He recounts how Michuki
2077073793856819218,ambiguous,offensive,0.16762132942676544,False,True,True,16,madoadoa,We have no country here!!! Next year it will be the chief goon's 20th anniversary after he committed the charges below in /07.  Do you think he has turned saint
2074523189883899952,ambiguous,offensive,0.03866516053676605,False,True,True,1,nyoka,"Boy Kids should avoid this kind of Women's  This is a serpent pretending to be a Woman Ukidinya yeye, maisha yako kwisha Shindwa Pepo ya Nyoka 🐍🐉  #Maandamano #"
2073457340247122314,kenya,neither,0.002434720518067479,False,False,True,0,madoadoa,"@YusuphCabdi @HonAdenDuale Tukimaliza kutoa wantam, next ni kutoa madoadoa Kenya. Tuwe safi kama pamba"
2074422989349634166,kenya,neither,0.002548890421167016,False,False,True,3,madoadoa,"Just like Gachagua gave William Ruto Tutam by coiling wantam,Muturi's support for Kalonzo Musyoka is another way of giving William Ruto a punching bag for 2027 "
2075656598563811579,kenya,neither,0.004914802964776754,False,False,True,1,nyoka,@Kuilean1 @_KithureKindiki Nyoka ni gachagua na wamunyoro retards ... Tutam
2057106695822663718,kenya,neither,0.006199281197041273,False,False,True,555,41_vs_1,"20th May, 2026  STATEMENT BY THE DCP DEPUTY PARTY LEADER SENATOR CLEOPHAS MALALA ON ETHNIC PROFILING IN KENYA BY UDA GOVERNMENT.   Dear Kenyans,  1. Over the la"
2077835053472555505,kenya,offensive,0.023585500195622444,False,True,True,48,watajua_hawajui,Ambieni Ruto aache mafeelings za OLKALOU 😂 boat ni kitu ya kutunyanganya?😂Ama wanangojea mp mwingine akufe😂 kwanza vyenye wameita cousin yetu SIFUNA maskini juu
2074078988964700492,ambiguous,offensive,0.03662629798054695,False,True,True,0,mende,@kinyuamike @KenyanSays Sio wewe ndio utaniambia kitu ya kufanya or not to do...mende wewe. Vile niliona ati double dare nilijua tu mnadeal na fala but I tried 
2072647909204496700,ambiguous,neither,0.008139992132782936,False,False,True,49,waondoke,#HABARI Zaidi ya watu 900 wamekamatwa kufuatia maandamano ya kitaifa yaliyofanyika Jumanne nchini Afrika Kusini kupinga uwepo wa wahamiaji wasio na nyaraka hala
2077369459283464586,ambiguous,neither,0.0026744080241769552,False,False,True,469,madoadoa,"People who have been arguing that Kibaki caused 2007 should follow this guy.   We, who lived through 2007 with the skin of our teeth, shouldn't argue with kids "
2070808527526932622,kenya,offensive,0.06903897970914841,False,True,True,101,nyoka,Simba aRATi is surely mtoto wa Nyoka. Anapangia Linda Mwananchi goons in kisii. Chief goon aRATi ajue kisii ni lazima tufike! https://t.co/KgMbWcQak3
