platform_post_id,author_handle,label,p_offensive,p_hate,hate_flag,lexicon_hits,lexicon_categories,fp_risk,engagement,text
2078971392880463966,cfc_kany,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,356,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2078970380715180255,Breany_22,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,356,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2078962474527715636,BobOtienoOwino,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,344,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2078954239263478219,JosephM57666705,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,338,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2078935956401402225,4lvo_,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,329,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2078887984238092308,Kwisao19,neither,0.12828506529331207,0.0016847437946125865,False,['fukuza'],expulsion,high,255,"RT @Naomikibandi: Gachagua in Kirinyaga rally right now.
Fukuza Ruto https://t.co/pQm5dCDGo9"
2073893630524150080,denobrooks_,neither,0.3516002297401428,0.0020730094984173775,False,['fukuza'],expulsion,high,0,@EvanoMemba @HonKangata Sisi watu wa murang’a tuko sawa. Infact ame overwork sana. So we sent him to join the Linda wananchi team ndio tufukuze kasongo vizuri. You should mind what your governor is doing or has done and leave murang’a business alone.
2075904980846866680,ntvkenya,neither,0.24963276088237762,0.002991324057802558,False,['nyoka'],['dehumanisation'],high,5,"Toto na Tetesi: Nyoka wahangaisha wachezaji kombe la dunia.

#MikikiMikiki @totoarege https://t.co/skjWtz4gYM"
2075645107739447414,Kuilean1,neither,0.24468576908111572,0.0032812519930303097,False,['nyoka'],['dehumanisation'],high,1,"@_KithureKindiki Yangu Iko, but nyoka na mayai yake lazima iende"
2073880519943524811,Real_Ashman,neither,0.4455161392688751,0.004009388852864504,False,['mende'],['dehumanisation'],high,3,@abbiezuena Hii ndio tunataka. Kaende Kaende ...Kifo Cha Mende hio siku itakua lit 🔥.  Tackles za Sifuna na chocha kaongo. Ayam ready for debate 😎
2075656598563811579,eliudlast,neither,0.3663889467716217,0.004914802964776754,False,['nyoka'],['dehumanisation'],high,1,@Kuilean1 @_KithureKindiki Nyoka ni gachagua na wamunyoro retards ... Tutam
2075564016030613982,nanshehadad,offensive,0.5133496522903442,0.006370593793690205,False,['mende'],['dehumanisation'],high,0,"@HonOscarSudi Build Kenya industries and it will ubsolve all its youth, giving them livelihood and pensions at old age. 25k siku moja ama mshahara for the rest of our careers?...Ubaya ni mnafikiriaga kama mende, kukula tu! #RutoMustGo"
2074078988964700492,Darfur007,offensive,0.830598771572113,0.03662629798054695,False,['mende'],['dehumanisation'],high,0,"@kinyuamike @KenyanSays Sio wewe ndio utaniambia kitu ya kufanya or not to do...mende wewe.
Vile niliona ati double dare nilijua tu mnadeal na fala but I tried accommodating your stupidity.
Nyinyi ndio wale mkiskia tunapenda maandamano mnaanza kupreach vile sijui serikali itatufanya nini...ngui"
2074725111563747578,someemwandoe,neither,0.13983696699142456,0.0009521119063720107,False,['41_vs_1'],othering,low,1,@BoboWamboiKuria Hii nayo mkijaribu 41  vs 1 will be a reality ni hayo kwa sasa
2074188680307056915,Broadbasedgal,neither,0.173347607254982,0.0010636723600327969,False,['watajua_hawajui'],veiled_threat,low,5,"NA Speaker Moses Wetangula has issued a 48-hour demand to Standard Group over a front-page story titled Broad-based family, calling it false and defamatory 

Through his lawyers, Wetangula wants the publication withdrawn, an apology published on the front page, the online story pulled down, and compensation negotiations to begin, failing which he says he will sue 

Standard wamepatikana. Watajua hawajui"
2078978571695952245,Seth_Sesu,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,47,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078965554543493274,MPKinyanjui,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,46,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078957351286223296,OGAYE2025,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,44,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078925993981489196,ngaruiya68,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,42,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078923174033432580,WatengaKelly,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,42,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078917822491570433,MlinziVinnie,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,42,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078916739476148593,muhindi_ben,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],veiled_threat,low,42,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078873796350525486,okeke4111,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],['veiled_threat'],low,31,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2078874865105551519,MacEamonnB,neither,0.15175677835941315,0.0017015989869832993,False,['watajua_hawajui'],['veiled_threat'],low,31,"RT @ItsNayombe: Publicly admitting how they were bribing Ol Kalou Voters, but IEBC are silent this.

Western things have shifted watajua hawajui https://t.co/Z7wnGjIjIP"
2069494137703800934,AllanObare4,neither,0.1903401017189026,0.002267824485898018,False,['41_vs_1'],othering,low,68,"‘Ruto, You Joined Raila in 2007 and Mobilised 41 Against 1,’ Gachagua Claims https://t.co/iNoRApuliS"
2073457340247122314,SodaBoflo,neither,0.17036987841129303,0.002434720518067479,False,['madoadoa'],dehumanisation,low,0,"@YusuphCabdi @HonAdenDuale Tukimaliza kutoa wantam, next ni kutoa madoadoa Kenya. Tuwe safi kama pamba"
2074422989349634166,Western_Wolf8,neither,0.2610577940940857,0.002548890421167016,False,['madoadoa'],dehumanisation,low,3,"Just like Gachagua gave William Ruto Tutam by coiling wantam,Muturi's support for Kalonzo Musyoka is another way of giving William Ruto a punching bag for 2027 presidential campaign.
William Ruto must find someone with madoadoa to shine.
William Ruto has nothing on Edwin Watenya Sifuna."
2077369459283464586,Briankariu,neither,0.2524820864200592,0.0026744080241769552,False,['madoadoa'],dehumanisation,low,469,"People who have been arguing that Kibaki caused 2007 should follow this guy. 

We, who lived through 2007 with the skin of our teeth, shouldn't argue with kids who were still eating mashed pumpkin when ""madoa doa"" was the song"
2077807945169907772,Jakateg_,neither,0.279387891292572,0.0040968903340399265,False,['41_vs_1'],othering,low,3,@ngoya_derrek He can recreate 41 vs 1
