platform_post_id,lexicon_hits,lexicon_categories,dehumanisation_score,violence_call_score,othering_score,political_criticism_score,model,scored_at,dt,platform,author_id,author_handle,created_at,text
2076194521482670352,['watajua_hawajui'],['veiled_threat'],0.983738124370575,0.42578428983688354,0.8252730965614319,0.3560897409915924,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1563609619426988032,bungomaduke,2026-07-12 07:38:42+01:00,"This is something I've been consistently telling Kenyans. Some people labelled me a Fool. Truth be told, Edwin"
2074404610526085598,['nyoka'],['dehumanisation'],0.9829873442649841,0.8983548283576965,0.7568071484565735,0.30321577191352844,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1996588243677331456,EricMarcos254,2026-07-07 09:06:14+01:00,@Georgeruto001 tunaua nyoka na mayai yake huku mlimani
2074523189883899952,['nyoka'],['dehumanisation'],0.9411559104919434,0.718298077583313,0.9793935418128967,0.48401424288749695,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1833062035745071104,MtotowaKiumeh,2026-07-07 16:57:25+01:00,"Boy Kids should avoid this kind of Women's 
This is a serpent pretending to be a Woman
Ukidinya yeye, maisha y"
2073461393559273786,['kwekwe'],['dehumanisation'],0.9640517234802246,0.7728736996650696,0.3849121630191803,0.3852590024471283,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,374995044,tonykaromo,2026-07-04 18:38:13+01:00,Man sounds warning to goons recounting how he was part of the 2008 outfit that was used by government for simi
2075656598563811579,['nyoka'],['dehumanisation'],0.9539660811424255,0.6741577386856079,0.658087968826294,0.5621764659881592,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1179155734648500224,eliudlast,2026-07-10 20:01:11+01:00,@Kuilean1 @_KithureKindiki Nyoka ni gachagua na wamunyoro retards ... Tutam
2074188680307056915,['watajua_hawajui'],['veiled_threat'],0.9413987398147583,0.388560026884079,0.45078244805336,0.2622745633125305,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1402365723243069443,Broadbasedgal,2026-07-06 18:48:12+01:00,NA Speaker Moses Wetangula has issued a 48-hour demand to Standard Group over a front-page story titled Broad-
2077073793856819218,['madoadoa'],['dehumanisation'],0.9413718581199646,0.7373473048210144,0.75604248046875,0.47292691469192505,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1257705953430056965,Wanjiru2027,2026-07-14 17:52:37+01:00,"We have no country here!!!
Next year it will be the chief goon's 20th anniversary after he committed the charg"
2073307399293636953,['fukuza'],['expulsion'],0.818428635597229,0.899739682674408,0.9379537105560303,0.532181978225708,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,2035273946933993473,NeShienu,2026-07-04 08:26:18+01:00,"Junet: I thought Huyu Sifuna Mambo yake tulikua tunamalizia pale Bunge Kumbe Tunamjenga

Arati: Jana Alivuruga"
2075645107739447414,['nyoka'],['dehumanisation'],0.5874698758125305,0.31933361291885376,0.9356926083564758,0.10275400429964066,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1451870918268104704,Kuilean1,2026-07-10 19:15:31+01:00,"@_KithureKindiki Yangu Iko, but nyoka na mayai yake lazima iende"
2073457340247122314,['madoadoa'],['dehumanisation'],0.9078752994537354,0.7046684622764587,0.3991088271141052,0.23598763346672058,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 21:07:28.477176+01:00,2026-07-17,x,1687718844314370048,SodaBoflo,2026-07-04 18:22:07+01:00,"@YusuphCabdi @HonAdenDuale Tukimaliza kutoa wantam, next ni kutoa madoadoa Kenya. Tuwe safi kama pamba"
