platform_post_id,lexicon_hits,lexicon_categories,dehumanisation_score,violence_call_score,othering_score,political_criticism_score,model,scored_at,dt,platform,author_id,author_handle,created_at,text
2076332940150133045,[],[],0.9931161999702454,0.9980276823043823,0.4639299213886261,0.01542455144226551,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 11:16:37.507626+01:00,2026-07-18,x,1542620899286851586,Simonk2341,2026-07-12 16:48:43+01:00,President Ruto’s closest advisor appears to be his greatest political liability. By permitting Luo-aligned ele
2074100621607596099,[],[],0.985731840133667,0.996851921081543,0.8253786563873291,0.06800946593284607,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 00:50:04.753376+01:00,2026-07-17,x,1254160998006693889,Manu8675,2026-07-06 12:58:17+01:00,@HonMoses_Kuria You are inciting mt. Kenya residents especially from nyandarua to possibly kill their legislat
2077329887770100099,[],[],0.9213289022445679,0.9967586398124695,0.5514529347419739,0.14357753098011017,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-17 22:41:40.017949+01:00,2026-07-17,x,1339281201144664078,NaekuMercy,2026-07-15 10:50:14+01:00,Gachagua Must be arrested for Threatening Linda Mwananchi and organising goons to attack its members! Victor K
2077384330150920428,[],[],0.929248034954071,0.9966626167297363,0.6590760946273804,0.17078441381454468,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 01:24:22.512007+01:00,2026-07-18,x,1339943574306250757,SonOfHopeE,2026-07-15 14:26:34+01:00,RT @NaekuMercy: Gachagua Must be arrested for Threatening Linda Mwananchi and organising goons to attack its m
2077475322526937489,[],[],0.9939024448394775,0.9962125420570374,0.6752294301986694,0.06717856973409653,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 01:05:18.729525+01:00,2026-07-18,x,512608908,JusPlainTalk101,2026-07-15 20:28:09+01:00,"@SeeRacists Hey @SenSusanCollin a Nazi Thug beating a Black CHILD! They do it bcos they can, bcos people like "
2077084858854056122,[],[],0.9835654497146606,0.9960237741470337,0.47584888339042664,0.13238830864429474,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 11:00:58.640203+01:00,2026-07-18,x,70394965,citizentvkenya,2026-07-14 18:36:35+01:00,"Babu Owino accuses State of sponsoring goon attacks against Orengo, Sifuna in Kisumu https://t.co/BFX7pfU54O"
2074978794671145440,[],[],0.9958256483078003,0.9959771037101746,0.8397996425628662,0.09069520980119705,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 01:05:18.729525+01:00,2026-07-18,x,1321918538,edunjau1,2026-07-08 23:07:50+01:00,RT @GlitteringAnge: Ruto is sending other tribes to hate and attack kikuyus. Meanwhile this is him in Ol Kalou
2074815724472648137,[],[],0.9958256483078003,0.9959771037101746,0.8397996425628662,0.09069520980119705,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 01:24:22.512007+01:00,2026-07-18,x,783686871977172996,skinyanjui86,2026-07-08 12:19:51+01:00,RT @GlitteringAnge: Ruto is sending other tribes to hate and attack kikuyus. Meanwhile this is him in Ol Kalou
2072576619756114193,[],[],0.9412504434585571,0.9959298372268677,0.6645402908325195,0.033939965069293976,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 00:50:04.753376+01:00,2026-07-17,x,1879277308969656320,MwangiHub,2026-07-02 08:02:27+01:00,The aftermath of the OlKalou goons invasion at Royal Hotel. Mr. Ruto has declared war with the people of OlKal
2077107238057955389,[],[],0.9803937673568726,0.9956176280975342,0.3429015278816223,0.16559311747550964,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 11:08:26.448599+01:00,2026-07-18,x,759268129914707969,victor_aliata,2026-07-14 20:05:30+01:00,"RT @citizentvkenya: Babu Owino accuses State of sponsoring goon attacks against Orengo, Sifuna in Kisumu https"
2078030089606816199,[],[],0.9746649265289307,0.9956091642379761,0.7554115056991577,0.016673043370246887,MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,2026-07-18 11:29:40.668555+01:00,2026-07-18,x,2024498411136024576,mwabilimwagodi2,2026-07-17 09:12:35+01:00,President Ruto's plan is to stoke anarchy and violence against Kenyans. We witnessed this in Ol Kalou on 16th 
