platform_post_id,author_handle,like_count,reply_count,view_count,followers_count,text,log_likes,excess_likes_dex
2076360367153058014,maggichips,224209,975,13805071,947,OKAY MS. JEN? https://t.co/J0JhRTa4kS,5.350653041675044,3.6346496980402447
2074480283919823074,yducknow,181389,347,2321383,6353,"Uber driver: 🤐🤐🤐🤐🤐
me: 🤐🤐🤐🤐🤐
Uber driver:🤐🤐🤐🤐🤐

me: ⭐️⭐️⭐️⭐️⭐️",5.258610946538016,3.498959521920302
2071262307842216136,VegasMike27,103658,1225,3440668,8047,Boomers bought $70k houses while making $40k a year. They are trying to convince Gen Z tha,5.015602825212145,3.255951400594431
2077496660360311195,England,145888,11718,6862857,6193559,Goal. 2-1 Argentina.,5.1640195705218686,3.244941478145795
2074962891724173332,ayamavii1,124780,273,1375085,10742,"Egyptians are so funny. The referee deactivated his account, so they found his personal ph",5.096144981294344,3.2096542561218624
2076266838141321574,oleemequivocao,83755,89,1972361,4858,llegará un día que lo raro será ver expresiones faciales https://t.co/z81QPUfXN3,4.923010742963713,3.163359318345999
2077827842767757451,DjedSpence,131516,3608,1765669,95021,HONOUR TO REPRESENT MY COUNTRY ON THE WORLDS BIGGEST STAGE 🏴󠁧󠁢󠁥󠁮󠁧󠁿 GOD IS THE GREATEST ♥️✨,5.118978591525468,3.1412549862366204
2048243738884051031,koovarbie,117968,226,1789194,50846,OMG FINALLY HD FANCAM OF TAEKOOK HANDSHAKE 😭 https://t.co/rlyZpCV4PX,5.071764216559023,3.0940406112701755
2074932797660098733,Dexerto,251679,3028,53980418,1391145,A student pilot successfully landed a plane by herself after her instructor jumped to his ,5.400846979693767,3.066393228542836
2077499554274906392,itsurboyhass,64874,322,2437882,5724,🏴󠁧󠁢󠁥󠁮󠁧󠁿🤦 https://t.co/mPhAKFBVeo,4.812070676477646,3.0524192518599316
2077309740665782578,patchzyy,49947,570,8364784,2538,"Announcing Mario Kart Wiicompiled!

The first static recompilation of a Wii game: Mario Ka",4.698509408026007,2.982506064391208
2077162584063766846,CattardSlim,76105,2068,4804671,74350,"EVERY SINGLE Republican voted to merge the U.S military with Israel.

Republicans are Amer",4.88141319029326,2.903689585004412
2072651974856622221,ProgressBar202_,166034,801,5304088,1456557,2026 is 50% complete. https://t.co/TVX4liwZfz,5.220197030813605,2.885743279662674
2074597676285329760,sami__rss,38271,130,315970,174,Je demande pardon aux fans de CR7 qui avaient raison depuis toutes ces années … la corrupt,4.582869810246655,2.8425789168320708
2077543237020168499,alysaaupdates,39161,0,2734284,3698,"Alysa posing at the 2026 ESPYs Red Carpet!

🎥: instyle https://t.co/i2N5bzbnnp",4.592853773246955,2.833202348629241
2077143232929022370,skeleoncemore,30976,107,3252896,828,MCU Magneto when he sees a Palestinian child https://t.co/hDYwnatCRu,4.4910253356283,2.7750219919935004
2077923265528348753,WhiteHouse,49165,3211,952903,4994375,No country can be great without fair and honest elections.,4.6916560434981465,2.7725779511220727
2077490116562505886,Hali,94770,1535,8096767,502657,Tomorrow it’s time @KingJames,4.976670880624812,2.7462219592465376
2077231116172304854,mywoojjong,28416,34,257085,1303,idk why this isn’t obvious but DO NOT talk to idols/celebrities about FANFIC. that is like,4.453562944098507,2.7375596004637073
2077013172419281332,TheCineprism,82018,1467,51328729,165871,Only 40 cinemas on EARTH could show what NOLAN actually filmed. https://t.co/WzZ2Gd2tb3,4.913909174856928,2.734932227563759
2075708119682785589,WhiteHouse,45012,7368,1636062,4994375,Choose wisely. https://t.co/nyZsxQUAeK,4.653328310198348,2.7342502178222743
2077519144916861096,AlbicelesteTalk,90986,1989,5254643,414865,🚨 Jude Bellingham attacks Colo Barco for no reason.  https://t.co/hHRedke0kc,4.958974572645309,2.7285256512670353
2077419276504387826,introuvableeaa,27290,832,4104111,2459,Je suis choqué comment les réseau sociaux ont détruit la vie de plein de filles https://t.,4.436003535669896,2.720000192035097
