post_id,stratum,text,label_gemini,label_cursor,rationale_gemini,rationale_cursor,hate_involved
2075656598563811579,lexicon,@Kuilean1 @_KithureKindiki Nyoka ni gachagua na wamunyoro retards ... Tutam,offensive,hate,"'Nyoka ni gachagua na wamunyoro retards' - abusive language directed at a politician and his followers, not an ethnic community.",'Nyoka ni gachagua na wamunyoro retards' - dehumanising an ethnic community as snakes with slur.,True
2075003328770048274,p_hate_top,"RT @Lightcasttvke: ""Wakikuyu wenye wako na mali, nitaftieni hizi mali tutumie kufukuza Kasongo."" ~ Gachagua",neither,hate,"Quotes a politician allegedly organizing a community to politically expel a rival ('kufukuza Kasongo'); the target is an individual leader, not a community.","'Wakikuyu wenye wako na mali... tutumie kufukuza Kasongo' - ethnic mobilization for expulsion, RT without condemnation.",True
2076807593041748133,p_hate_top,@pksalasya It's people from his backyard that Kasongo is using to bring Sifuna down. Musizoe hii tabia ya uchawi mulembe nation,neither,hate,"Uses 'uchawi' metaphorically for political backstabbing, aimed at a voting bloc rather than expressing literal ethnic contempt.",'hii tabia ya uchawi mulembe nation' - attributes witchcraft practice collectively to Luhya community.,True
2077787974633156850,p_hate_top,Mt Kenya will REGRET voting AGAINST President William Ruto in Ol Kalou. Rigathi Gachagua has WON the battle BUT will LOSE the WAR - 2027 General Election. Kikuyus have made a MISTAKE by showing President Ruto their TRUE COLORS. It will TAKE Kikuyus 100 yrs to GET BACK into govt.,neither,hate,"Ethnic-bloc electoral analysis and prediction of political consequences, no contempt.",'It will TAKE Kikuyus 100 yrs to GET BACK into govt' - collective exclusion from political participation based on ethnicity.,True
2074794095789133860,p_hate_top,"@HonMoses_Kuria Mbwa wewe,after the by election you gonna return them to the owner,we know you disgusting kipii!",hate,offensive,Attacks a politician using an ethnically-tied cultural slur ('disgusting kipii').,"'Mbwa wewe', 'disgusting kipii' - personal insults to Moses Kuria, not ethnic group targeting.",True
2077981647379562538,p_hate_top,Waluuuuuhyaaaaa next ni nyinyi. Shida yenyu ni mutakula na mupeane kura! Aaaaah! Kwanza nyinyi wa Bungoma na Kakamega.,neither,hate,"Criticism of an ethnic voting bloc's political behavior ('mutakula na mupeane kura'), not hate or contempt.",'Waluuuhya next ni nyinyi' with accusatory 'mutakula na mupeane kura' - veiled threat plus collective contempt for being bought.,True
2073525948415111528,p_hate_top,@lynn_ngugi1 Kwani ni wakikuyu tu wako na shida na William. Presidency hamtaona Ata Kindiki hatapewa,neither,hate,"Electoral and political taunting directed at a voting bloc ('Presidency hamtaona'), not hate.","'Presidency hamtaona' - declares Kikuyus categorically excluded from presidency, NCIC ethnic exclusion from leadership.",True
2074810561599017275,p_hate_top,@NjiruAdv William ruto coz the devil will be the tribalist from Wamunyoro,neither,hate,Harsh political rhetoric ('the devil will be the tribalist') aimed at a named politician.,'the devil will be the tribalist from Wamunyoro' - links negative traits to ethnic origin.,True
2077981698722062546,p_hate_top,"@femmepov1234 @KagweNahashon @MiskellahMD @WilliamsRuto @KindikiKithure 2024 was a Kikuyu uprising against a none Kikuyu president who had started cossying up with ""jaruos"". Finance bill was just an excuse. In fact 99% them didn't read that finance bill. We aren't that dumbt mtu wangu.",neither,hate,"Analysis of political alliances using the term 'jaruos' to describe past political framing, rather than as an active slur.",'Kikuyu uprising against a none Kikuyu president' and 'jaruos' - frames politics as ethnic conflict using derogatory term.,True
2075755444837233030,p_hate_top,"@SanghamitraLIVE Fancy English will neutralise the fact that you were a tmchee shit. Same Islamic party of tmc responsible for sandeshkhalli, Murshidabad violence and thousands of Hindus killing and rape in last 15 specially in pre and post election violence.",offensive,hate,"Abusive language ('tmchee shit') directed at an individual regarding Indian politics, without group-based hate.",'Islamic party...responsible for...thousands of Hindus killing and rape' - holds religious community collectively responsible for violence.,True
2077816667241885839,p_hate_top,@Keir_Starmer Just FUCK OFF and LEAVE you fucking asshole. You'll go down in history as a Muslim-loving traitor.,offensive,hate,"Extreme vulgarity and abuse ('fucking asshole') directed at an individual politician (Keir Starmer), not an attack on Muslims as a group despite the 'Muslim-loving' phrasing.","'Muslim-loving traitor' - attacks someone for association with Muslims, religious bigotry.",True
2074791580217606266,p_hate_top,@NjiruAdv So gachagua mmejua ni devil sisi tulijua kitambo sana thats why ako wamunyoro,offensive,hate,Abusive attack on an individual politician ('gachagua mmejua ni devil').,'ni devil... thats why ako wamunyoro' - links negative trait (devil) to ethnic origin.,True
2078393606176473130,p_hate_top,"RT @FrankMtetezi: Wamunyoro villager Rigathi Gachagua is still poisoning the Kikuyus of Mt Kenya West that their enemy is President William Ruto,The only Persecution President Ruto did is to give them Roads,Electricity,Stadiums, Markets,Railway and affordable housing but their feedback=Tribalism !",neither,hate,"Political commentary accusing a leader of misleading a community ('poisoning the Kikuyus'); the criticism is directed at Gachagua, not the Kikuyu community.","'Wamunyoro villager' used as ethnic slur against Gachagua, linking derogatory trait to his origin.",True
2074487158388199864,p_hate_top,@gabrieloguda Let the Kikuyus protest kabisa... Infact next year tunataka wakae kwa barabara zao uko murima wafunge kabisa🤣🤣🤣 other communities are so relieved right now ...what a breather 🤣🤣🤣✌🏾they thought sisi watu wengine were idiots fighting electoral injustices.,neither,hate,Mocking political protests in Mt Kenya ('Let the Kikuyus protest kabisa'); banter and schadenfreude without inciting hatred or violence.,"'other communities are so relieved right now' - expresses relief at containing Kikuyus, framing them as burden to others.",True
2078034906425254290,p_hate_top,Wakale walienda kukula pesa ya Rigathi just the same way Kikuyus ate Ruto’s money. That trip was 100% funded by Gachagua,neither,hate,"Ordinary political rhetoric comparing how politicians ('Rigathi', 'Ruto') use money, with no ethnic contempt expressed against Wakale or Kikuyus.",'Wakale... kukula pesa' and 'Kikuyus ate Ruto's money' - collective attribution of corruption to both ethnic groups.,True
2077762599278493991,p_hate_top,"@WHLeavitt After all the American dead in 47 years by this Religious/ Terrorist cult , who enslave their Persian born citizens! These murderous cultist killed over 50,000 of their own people for protesting this year ! The complete removal of this blight will be positive to the region!",neither,hate,"Harsh criticism and call for removal directed at a foreign regime ('Religious/ Terrorist cult'), not an ethnic or protected group.","'murderous cultist', 'blight', 'complete removal' - dehumanization and call for removal of Persian/Iranian people.",True
2075567997129806251,p_hate_top,"""Hakuna Mluhya anapinga Sifuna. Wale wanampinga kama Musalia si mluhya, ni mnandi kutoka Chepsenoi...Wetangula ni mganda kutoka Nalondo...Salasya na yeye mkikuyu. Nyinyi mmeona wapi mluhya ako na lips za red kama za Salasya!""~Angry Kakamega man",neither,hate,Quoting or reporting someone else's tribal gatekeeping and ethnic banter.,'Musalia si mluhya... Salasya ni mkikuyu... mluhya ako na lips za red' - denies ethnic authenticity based on physical characteristics.,True
2074546669870346563,p_hate_top,"@rigathi Huu upusu wa uguruki,,, Diaspora gani? 6th ya viusasa, nobody wants anything to do with Kikuyu president or Kikuyu project. You fear being in nbi,unajua kasongo,umekuwa na msongo wa mawazo(Dorcas combined project=DCP).",neither,hate,"Rejection of a political project linked to an ethnicity ('Kikuyu president'), without explicit collective contempt.",'nobody wants anything to do with Kikuyu president or Kikuyu project' - declares Kikuyu political leadership categorically unwanted.,True
2073454759881654730,p_hate_top,@jimNjue_ Wamunyoro hawezi hivi. A very selfish being,offensive,hate,Personal insult ('A very selfish being') directed at an individual.,'Wamunyoro hawezi hivi. A very selfish being' - collective attribution of selfishness to ethnic group,True
2074932391286628636,p_hate_top,"Kikuyus must be very expensive, sisi tuliambiwa tuko broad-based tukatulia😂😂",neither,hate,"Political banter regarding political alliances and government inclusion ('broad-based'), lacking contempt or incitement.",'Kikuyus must be very expensive' - collective attribution of greed/costliness to ethnic group,True
2077181290990690685,p_hate_top,"SO. WITHOUT AID FROM US, THE RADICAL MUSLIMS WILL KILL EVERY JEW IN ISRAEL. THAT'S WHAT YOU WANT HUH? ""COMMITED GENOCIDE"". REALLY? ASSHOLE, THE POPULATION GREW IN GAZA, ARE YOU A FUCKING RETARD? THERE'S 1.7 MILLION MUSLIMS LIVING IN ISRAEL. IF THEY WANTED TO COMMIT GENOCIDE, WOULDN'T THEY START WITH THEM FIRST? YOU'RE JUST ANOTHER ANTISEMITE SUBHUMAN PIECE OF SHIT SCUMBAG LIAR. GO FUCK YOURSELF. WE WILL REMEMBER.",offensive,hate,"Extremely vulgar personal abuse ('SUBHUMAN PIECE OF SHIT') directed at another user, not group-based hate.",'RADICAL MUSLIMS WILL KILL EVERY JEW' and 'SUBHUMAN PIECE OF SHIT' - violent rhetoric plus dehumanization,True
2072756619587293681,p_hate_top,"They weren’t presidents. Barry Barack Hussein Obama Soetoro is a Kenyan-born, high-ranking muslin brotherhood leader who infiltrated our govt to destroy us from within. Pedo Joe Biden AND Barry Soetoro were both installed THROUGH ELECTION FRAUD.",neither,hate,Conspiracy theory and political attacks against named US politicians; does not incite hatred against Kenyans or Muslims as a group.,'high-ranking muslin brotherhood leader who infiltrated our govt to destroy us' - conspiracy targeting religious group,True
2074687740629639220,p_hate_top,@Adele_lide The Tribal Card Ndio Wamebakisha..kwanza some Luo ODM scavengers leaders.,offensive,hate,Abusive attack on specific politicians ('some Luo ODM scavengers leaders') rather than the community itself.,'Luo ODM scavengers leaders' - dehumanizing term applied to ethnic group's political leadership,True
2075172069566763028,p_hate_top,"Western is irredeemably divided, and not even the presidency will unite them. Their conversation is always about clans where someone comes from. Bukusu think leadership is their birthright and other luhyas are their subjects. Believe me ,not , William Ruto will get more votes in Western Kenya than the opposition presidential candidate 2027.",neither,hate,Electoral analysis discussing tribal divisions and political attitudes of a subgroup ('Bukusu think leadership is their birthright') without severe contempt.,'Bukusu think leadership is their birthright and other luhyas are their subjects' - collective attribution of superiority complex,True
2074535569011474556,p_hate_top,Bukusus are officially the weakest courtesy of Noisemaker Sifuna hunger for Uhuru the drunken master money. Jezebel Pauline Njoroge is now the queenpin giving directions.,neither,hate,Political commentary describing a community as politically weak due to the actions of specific named politicians.,'Bukusus are officially the weakest' - collective negative characterization of ethnic sub-group,True
2078393699315097925,p_hate_top,"@Mwarubainii @wilber1990f Kenya si ya wakikuyu pekeako, what a tribal community, Kindiki anatoka mountain Kenya mbona msimsupport? Ndio mjue mko na shida nyinyi..",neither,hate,"Robust political criticism accusing a community of tribalism, but falling short of outright collective contempt or exclusion.","'Kenya si ya wakikuyu pekeako, what a tribal community' - collective attribution of tribalism to Kikuyu",True
2074970810037497991,p_hate_top,"@abuga_makori Waluhya ndio jobless urban na rural , ndio maana tunawaambia wachana na Sifuna ama mkae opposition hii error century tena 😀.",neither,hate,"Mocks the Luhya community's socioeconomic status ('jobless') in a political context, which is borderline but lacks severe hatred.",'Waluhya ndio jobless urban na rural' attributes joblessness collectively to Luhya community.,True
2073767274956152965,p_hate_top,@Asamoh_ @NevilNiga @DidmusWaBarasa @WilliamsRuto A few hungry Bukusu people following Barasa for handouts is what you call making a statement? Smdh! That’s a sign of poverty due to bad governance. Western Kenya being a Bantu community can never vote for Kasongo.,neither,hate,"Discusses voting patterns using ethnic categories (Bukusu, Bantu) but attributes their condition ('hungry') to bad governance rather than ethnic contempt.",'Western Kenya being a Bantu community can never vote for Kasongo' declares ethnic bloc categorically opposed using derogatory term.,True
2074932449176338855,p_hate_top,@mbiti_mwondi @mutava_stephen Bullshit ni wewe na huyo wamunyoro wenu.,hate,offensive,"Uses 'wamunyoro', an ethnically tied derogatory term, to attack the user and their politician, satisfying the slur rule.","'wamunyoro' used as insult but directed at individuals, not attacking Luo as group.",True
2074501288910364792,p_hate_top,Kule Kisumu wajaluo wanapewa Rungus to be goons and sing TUTAM Meanwhile in Ol Kalou👇👇👇,neither,hate,"Describes members of an ethnic community being used as political goons ('wanapewa Rungus to be goons'), which is a political allegation rather than collective ethnic contempt.",'wajaluo wanapewa Rungus to be goons' attributes violent thuggery collectively to Luo community.,True
2077039750658039894,p_hate_top,RT @mkurugezpart2: Madem wajaluo na mechi ni kama kasongo na uogo bana Mwingine karibu animalizie kwake weekend 🤣🤣,offensive,hate,Sexual crudeness and stereotyping aimed at Luo women; reads as vulgar banter rather than ethnic incitement.,"'Madem wajaluo na mechi ni kama kasongo na uogo' - mocking Luo women collectively, attributing cowardice as group characteristic.",True
2076336321002381315,p_hate_top,Joluo must grow brains and recognise that those who should be throwing stones and disrupting political functions for this electoral period are Tugege. The only thing Joluo must do is to register as voters and enjoy the development going on in our region. There is no need for vita,neither,hate,"Harsh political advice directed at the Luo community ('must grow brains'), urging electoral participation over protests.",'Joluo must grow brains' - collective attribution of lacking intelligence to Luo community as a group.,True
2078469306052927781,p_hate_top,"OK, but ngubu is a special category. I can tolerate a Pan-Africanist. Bantu/Kavirondo supremacists and Zoomalya irridentists are entertaining. Heck, I'd wish to have OnlyFans creators in my circle. But ngubus is a big no. Goons, cattle rustlers, blogstitutes, Tutam lambiststs etc are in the ngubu category. They are a cancer ruining the advancement of our ngubu society.",neither,hate,"Harsh societal critique of various factions and behaviors using slang ('ngubu', 'goons'), but lacks a clear attack on a protected ethnic group.",'They are a cancer ruining the advancement of our ngubu society' - dehumanizing language applied to ethnic categories including Bantu/Kavirondo references.,True
2074567620272021636,p_hate_top,"The same Uhuru's on crossroads,where is the landlock counties,Kisii/ Nyamira,I did advise them that no kisii will be a president in Kenya unless we create another country to Tarime and Kuria! Kikuyus are players,Onyonga is another conman he'll jump to Sifuna soon! So Matiangi out",neither,hate,'no kisii will be a president' and 'Kikuyus are players' read as ethnic-bloc political forecasting and banter rather than collective contempt.,'no kisii will be a president in Kenya' declares an entire community categorically unfit to lead.,True
2071932298451112289,p_hate_top,"If Black South Africans were gathered in the millions armed with crude weapons in order to chase away Boers who have enslaved them, stolen 90% of their wealth and rendered them destitutes in their own country, fascist @realDonaldTrump would have sent warships, launched tomahawk missiles and orchestrated a @UN Security Council resolution condemning the violence and calling it “White Genocide.” @elonmusk would have turned @X into a White Revolutionary Media! But because the victims are Black Africans, the entire white world is silently cheering!",hate,neither,Attributes complicity in atrocities to an entire racial group globally: 'the entire white world is silently cheering!'.,Political critique of Western double standards on colonial/post-colonial violence - analytical commentary.,True
2073937847078342672,p_hate_top,"@LlewellynOuya THE MAIN MAJOR THUGGISH GOONS ARE PART OF THE ILLEGITIMATE GOVERNMENT IN CAHOOT WITH RETIRED GOONS FAKE ASS MAFIAS MASTERS, DEACONS CARTEL THUGS OF FOREIGN ORIGIN COLONIAL GARBAGE DOLLAR CASH WASHERS OFFSHORE ACCOUNTS HANDLERS FROM FINANCE BILL KICKBACKS SHAKAHOLA OWNERS.",offensive,hate,"Caps-lock political rant with abusive language ('fake ass mafias', 'colonial garbage') and coded terms ('goons') aimed at government figures.",'THUGS OF FOREIGN ORIGIN COLONIAL GARBAGE' - contempt based on national origin.,True
2078825262901244324,p_hate_top,@siungugz @MainNeli_ The reason murima infrastructure is expanding is because itugati joors tax Kenyans as send all the money to central for development. Use your head. Kibaki and partially Uhuru sent central a lot of other tribe's money to develop it.,neither,hate,"Debate over historical resource allocation and political leadership ('Kibaki and partially Uhuru sent central a lot of other tribe's money'), not ethnic contempt.",'itugati joors tax Kenyans as send all the money to central' - accuses community of collective parasitism and theft via taxation.,True
2074580864126861767,p_hate_top,"@Kenyans And this is how kk lost all the other regions in the country especially luos and kaales. They just showed them which region is important. Mkaale hajawai pata barabara au hongo. Mjaluo has a soar throat for shouting 2tam on an empty stomach. They get a speech, maumau gets it all!",neither,hate,"Political analysis of resource distribution and regional politics, using ethnic terms for political blocs without expressing contempt.","'Mkaale hajawai pata barabara', 'Mjaluo has a soar throat' - collective negative characterization of both communities.",True
2070957004017774874,p_hate_top,@dauticn @HammerHamm026 Ol Kalou is a Samburu name. These are guys who stole someone's land.,hate,neither,"Attributes historical land theft ('These are guys who stole someone's land') to the current community living in Ol Kalou, fulfilling the standard for collective contempt.","Historical commentary on land and place names, no clear ethnic attack.",True
2075259609309135206,p_hate_top,"Rigathi and his Kikuyu team led by Muturi are determined to keep Matiangi and Sifuna far from power in the opposition,he is only comfortable with A weak kalonzo,my advice to Sifuna is join Ruto and deny these mafia a Kikuyu controlled government,we can wait for 2032.",neither,hate,"Robust political criticism and tribal coalition arithmetic regarding 'a Kikuyu controlled government', aimed at politicians rather than the ethnic community itself.",'his Kikuyu team... these mafia... deny these mafia a Kikuyu controlled government' - links Kikuyu ethnicity to mafia.,True
2075236444029747482,p_hate_top,"@muriaso @MrErickRicky Wamunyoro walker, a stupid tribalist.",offensive,hate,"Insults directed at an individual ('stupid tribalist'), not attributing a negative trait to an ethnic group.","'Wamunyoro walker, a stupid tribalist' - ethnic identifier plus 'stupid' is group-based attack.",True
